Employee Number,First Name,Last Name,Date_x,Hours Worked,Date_y,Performance Review,Employee,Week,Year,Month,Weekday,Year_week,Year_month
101,Alice,Johnson,2024-12-17,8.8,2/11/2025,3 - Satisfactory,Alice Johnson (101),51,2024,12,1,2024-W51,2024-12
101,Alice,Johnson,2024-12-18,5.0,2/11/2025,3 - Satisfactory,Alice Johnson (101),51,2024,12,2,2024-W51,2024-12
101,Alice,Johnson,2024-12-19,5.5,2/11/2025,3 - Satisfactory,Alice Johnson (101),51,2024,12,3,2024-W51,2024-12
101,Alice,Johnson,2024-12-20,6.6,2/11/2025,3 - Satisfactory,Alice Johnson (101),51,2024,12,4,2024-W51,2024-12
101,Alice,Johnson,2024-12-21,7.4,2/11/2025,3 - Satisfactory,Alice Johnson (101),51,2024,12,5,2024-W51,2024-12
101,Alice,Johnson,2024-12-23,6.1,2/11/2025,3 - Satisfactory,Alice Johnson (101),52,2024,12,0,2024-W52,2024-12
101,Alice,Johnson,2024-12-24,8.6,2/11/2025,3 - Satisfactory,Alice Johnson (101),52,2024,12,1,2024-W52,2024-12
101,Alice,Johnson,2024-12-25,6.6,2/11/2025,3 - Satisfactory,Alice Johnson (101),52,2024,12,2,2024-W52,2024-12
101,Alice,Johnson,2024-12-26,6.1,2/11/2025,3 - Satisfactory,Alice Johnson (101),52,2024,12,3,2024-W52,2024-12
101,Alice,Johnson,2024-12-27,9.6,2/11/2025,3 - Satisfactory,Alice Johnson (101),52,2024,12,4,2024-W52,2024-12
101,Alice,Johnson,2024-12-30,9.9,2/11/2025,3 - Satisfactory,Alice Johnson (101),1,2025,12,0,2025-W01,2024-12
101,Alice,Johnson,2024-12-31,7.0,2/11/2025,3 - Satisfactory,Alice Johnson (101),1,2025,12,1,2025-W01,2024-12
101,Alice,Johnson,2025-01-01,9.5,2/11/2025,3 - Satisfactory,Alice Johnson (101),1,2025,1,2,2025-W01,2025-01
101,Alice,Johnson,2025-01-02,5.2,2/11/2025,3 - Satisfactory,Alice Johnson (101),1,2025,1,3,2025-W01,2025-01
101,Alice,Johnson,2025-01-03,8.1,2/11/2025,3 - Satisfactory,Alice Johnson (101),1,2025,1,4,2025-W01,2025-01
101,Alice,Johnson,2025-01-04,6.5,2/11/2025,3 - Satisfactory,Alice Johnson (101),1,2025,1,5,2025-W01,2025-01
101,Alice,Johnson,2025-01-06,8.7,2/11/2025,3 - Satisfactory,Alice Johnson (101),2,2025,1,0,2025-W02,2025-01
101,Alice,Johnson,2025-01-07,6.8,2/11/2025,3 - Satisfactory,Alice Johnson (101),2,2025,1,1,2025-W02,2025-01
101,Alice,Johnson,2025-01-08,4.6,2/11/2025,3 - Satisfactory,Alice Johnson (101),2,2025,1,2,2025-W02,2025-01
101,Alice,Johnson,2025-01-09,4.2,2/11/2025,3 - Satisfactory,Alice Johnson (101),2,2025,1,3,2025-W02,2025-01
101,Alice,Johnson,2025-01-10,7.4,2/11/2025,3 - Satisfactory,Alice Johnson (101),2,2025,1,4,2025-W02,2025-01
101,Alice,Johnson,2025-01-11,8.3,2/11/2025,3 - Satisfactory,Alice Johnson (101),2,2025,1,5,2025-W02,2025-01
101,Alice,Johnson,2025-01-13,8.7,2/11/2025,3 - Satisfactory,Alice Johnson (101),3,2025,1,0,2025-W03,2025-01
101,Alice,Johnson,2025-01-14,7.9,2/11/2025,3 - Satisfactory,Alice Johnson (101),3,2025,1,1,2025-W03,2025-01
101,Alice,Johnson,2025-01-15,8.1,2/11/2025,3 - Satisfactory,Alice Johnson (101),3,2025,1,2,2025-W03,2025-01
101,Alice,Johnson,2025-01-16,9.2,2/11/2025,3 - Satisfactory,Alice Johnson (101),3,2025,1,3,2025-W03,2025-01
101,Alice,Johnson,2025-01-17,5.3,2/11/2025,3 - Satisfactory,Alice Johnson (101),3,2025,1,4,2025-W03,2025-01
101,Alice,Johnson,2025-01-20,5.0,2/11/2025,3 - Satisfactory,Alice Johnson (101),4,2025,1,0,2025-W04,2025-01
101,Alice,Johnson,2025-01-21,6.1,2/11/2025,3 - Satisfactory,Alice Johnson (101),4,2025,1,1,2025-W04,2025-01
101,Alice,Johnson,2025-01-22,7.5,2/11/2025,3 - Satisfactory,Alice Johnson (101),4,2025,1,2,2025-W04,2025-01
101,Alice,Johnson,2025-01-23,8.0,2/11/2025,3 - Satisfactory,Alice Johnson (101),4,2025,1,3,2025-W04,2025-01
101,Alice,Johnson,2025-01-24,4.1,2/11/2025,3 - Satisfactory,Alice Johnson (101),4,2025,1,4,2025-W04,2025-01
101,Alice,Johnson,2025-01-27,6.8,2/11/2025,3 - Satisfactory,Alice Johnson (101),5,2025,1,0,2025-W05,2025-01
101,Alice,Johnson,2025-01-28,9.4,2/11/2025,3 - Satisfactory,Alice Johnson (101),5,2025,1,1,2025-W05,2025-01
101,Alice,Johnson,2025-01-29,6.9,2/11/2025,3 - Satisfactory,Alice Johnson (101),5,2025,1,2,2025-W05,2025-01
101,Alice,Johnson,2025-01-30,4.3,2/11/2025,3 - Satisfactory,Alice Johnson (101),5,2025,1,3,2025-W05,2025-01
101,Alice,Johnson,2025-01-31,7.2,2/11/2025,3 - Satisfactory,Alice Johnson (101),5,2025,1,4,2025-W05,2025-01
101,Alice,Johnson,2025-02-01,4.4,2/11/2025,3 - Satisfactory,Alice Johnson (101),5,2025,2,5,2025-W05,2025-02
101,Alice,Johnson,2025-02-03,9.9,2/11/2025,3 - Satisfactory,Alice Johnson (101),6,2025,2,0,2025-W06,2025-02
101,Alice,Johnson,2025-02-04,8.4,2/11/2025,3 - Satisfactory,Alice Johnson (101),6,2025,2,1,2025-W06,2025-02
101,Alice,Johnson,2025-02-05,8.9,2/11/2025,3 - Satisfactory,Alice Johnson (101),6,2025,2,2,2025-W06,2025-02
101,Alice,Johnson,2025-02-06,6.3,2/11/2025,3 - Satisfactory,Alice Johnson (101),6,2025,2,3,2025-W06,2025-02
101,Alice,Johnson,2025-02-07,7.2,2/11/2025,3 - Satisfactory,Alice Johnson (101),6,2025,2,4,2025-W06,2025-02
101,Alice,Johnson,2025-02-10,6.6,2/11/2025,3 - Satisfactory,Alice Johnson (101),7,2025,2,0,2025-W07,2025-02
102,Bob,Smith,2024-11-04,9.5,2/21/2025,4 - Meeting Expectations,Bob Smith (102),45,2024,11,0,2024-W45,2024-11
102,Bob,Smith,2024-11-05,7.7,2/21/2025,4 - Meeting Expectations,Bob Smith (102),45,2024,11,1,2024-W45,2024-11
102,Bob,Smith,2024-11-06,6.0,2/21/2025,4 - Meeting Expectations,Bob Smith (102),45,2024,11,2,2024-W45,2024-11
102,Bob,Smith,2024-11-07,7.9,2/21/2025,4 - Meeting Expectations,Bob Smith (102),45,2024,11,3,2024-W45,2024-11
102,Bob,Smith,2024-11-08,6.8,2/21/2025,4 - Meeting Expectations,Bob Smith (102),45,2024,11,4,2024-W45,2024-11
102,Bob,Smith,2024-11-09,5.6,2/21/2025,4 - Meeting Expectations,Bob Smith (102),45,2024,11,5,2024-W45,2024-11
102,Bob,Smith,2024-11-11,8.4,2/21/2025,4 - Meeting Expectations,Bob Smith (102),46,2024,11,0,2024-W46,2024-11
102,Bob,Smith,2024-11-12,6.6,2/21/2025,4 - Meeting Expectations,Bob Smith (102),46,2024,11,1,2024-W46,2024-11
102,Bob,Smith,2024-11-13,7.4,2/21/2025,4 - Meeting Expectations,Bob Smith (102),46,2024,11,2,2024-W46,2024-11
102,Bob,Smith,2024-11-14,6.1,2/21/2025,4 - Meeting Expectations,Bob Smith (102),46,2024,11,3,2024-W46,2024-11
102,Bob,Smith,2024-11-15,9.8,2/21/2025,4 - Meeting Expectations,Bob Smith (102),46,2024,11,4,2024-W46,2024-11
102,Bob,Smith,2024-11-17,5.1,2/21/2025,4 - Meeting Expectations,Bob Smith (102),46,2024,11,6,2024-W46,2024-11
102,Bob,Smith,2024-11-18,8.8,2/21/2025,4 - Meeting Expectations,Bob Smith (102),47,2024,11,0,2024-W47,2024-11
102,Bob,Smith,2024-11-19,6.2,2/21/2025,4 - Meeting Expectations,Bob Smith (102),47,2024,11,1,2024-W47,2024-11
102,Bob,Smith,2024-11-20,7.4,2/21/2025,4 - Meeting Expectations,Bob Smith (102),47,2024,11,2,2024-W47,2024-11
102,Bob,Smith,2024-11-21,8.6,2/21/2025,4 - Meeting Expectations,Bob Smith (102),47,2024,11,3,2024-W47,2024-11
102,Bob,Smith,2024-11-22,9.1,2/21/2025,4 - Meeting Expectations,Bob Smith (102),47,2024,11,4,2024-W47,2024-11
102,Bob,Smith,2024-11-23,9.2,2/21/2025,4 - Meeting Expectations,Bob Smith (102),47,2024,11,5,2024-W47,2024-11
102,Bob,Smith,2024-11-24,5.2,2/21/2025,4 - Meeting Expectations,Bob Smith (102),47,2024,11,6,2024-W47,2024-11
102,Bob,Smith,2024-11-25,6.6,2/21/2025,4 - Meeting Expectations,Bob Smith (102),48,2024,11,0,2024-W48,2024-11
102,Bob,Smith,2024-11-26,4.4,2/21/2025,4 - Meeting Expectations,Bob Smith (102),48,2024,11,1,2024-W48,2024-11
102,Bob,Smith,2024-11-27,6.1,2/21/2025,4 - Meeting Expectations,Bob Smith (102),48,2024,11,2,2024-W48,2024-11
102,Bob,Smith,2024-11-28,8.2,2/21/2025,4 - Meeting Expectations,Bob Smith (102),48,2024,11,3,2024-W48,2024-11
102,Bob,Smith,2024-11-29,7.7,2/21/2025,4 - Meeting Expectations,Bob Smith (102),48,2024,11,4,2024-W48,2024-11
102,Bob,Smith,2024-12-03,8.5,2/21/2025,4 - Meeting Expectations,Bob Smith (102),49,2024,12,1,2024-W49,2024-12
102,Bob,Smith,2024-12-04,8.9,2/21/2025,4 - Meeting Expectations,Bob Smith (102),49,2024,12,2,2024-W49,2024-12
102,Bob,Smith,2024-12-05,6.5,2/21/2025,4 - Meeting Expectations,Bob Smith (102),49,2024,12,3,2024-W49,2024-12
102,Bob,Smith,2024-12-09,9.9,2/21/2025,4 - Meeting Expectations,Bob Smith (102),50,2024,12,0,2024-W50,2024-12
102,Bob,Smith,2024-12-10,8.9,2/21/2025,4 - Meeting Expectations,Bob Smith (102),50,2024,12,1,2024-W50,2024-12
102,Bob,Smith,2024-12-11,9.9,2/21/2025,4 - Meeting Expectations,Bob Smith (102),50,2024,12,2,2024-W50,2024-12
102,Bob,Smith,2024-12-12,4.5,2/21/2025,4 - Meeting Expectations,Bob Smith (102),50,2024,12,3,2024-W50,2024-12
102,Bob,Smith,2024-12-13,9.0,2/21/2025,4 - Meeting Expectations,Bob Smith (102),50,2024,12,4,2024-W50,2024-12
102,Bob,Smith,2024-12-15,8.8,2/21/2025,4 - Meeting Expectations,Bob Smith (102),50,2024,12,6,2024-W50,2024-12
102,Bob,Smith,2024-12-16,5.7,2/21/2025,4 - Meeting Expectations,Bob Smith (102),51,2024,12,0,2024-W51,2024-12
102,Bob,Smith,2024-12-17,7.8,2/21/2025,4 - Meeting Expectations,Bob Smith (102),51,2024,12,1,2024-W51,2024-12
102,Bob,Smith,2024-12-18,4.8,2/21/2025,4 - Meeting Expectations,Bob Smith (102),51,2024,12,2,2024-W51,2024-12
102,Bob,Smith,2024-12-19,7.1,2/21/2025,4 - Meeting Expectations,Bob Smith (102),51,2024,12,3,2024-W51,2024-12
102,Bob,Smith,2024-12-20,6.4,2/21/2025,4 - Meeting Expectations,Bob Smith (102),51,2024,12,4,2024-W51,2024-12
102,Bob,Smith,2024-12-22,8.7,2/21/2025,4 - Meeting Expectations,Bob Smith (102),51,2024,12,6,2024-W51,2024-12
102,Bob,Smith,2024-12-23,7.5,2/21/2025,4 - Meeting Expectations,Bob Smith (102),52,2024,12,0,2024-W52,2024-12
102,Bob,Smith,2024-12-24,9.6,2/21/2025,4 - Meeting Expectations,Bob Smith (102),52,2024,12,1,2024-W52,2024-12
102,Bob,Smith,2024-12-25,7.8,2/21/2025,4 - Meeting Expectations,Bob Smith (102),52,2024,12,2,2024-W52,2024-12
102,Bob,Smith,2024-12-26,6.7,2/21/2025,4 - Meeting Expectations,Bob Smith (102),52,2024,12,3,2024-W52,2024-12
102,Bob,Smith,2024-12-27,9.6,2/21/2025,4 - Meeting Expectations,Bob Smith (102),52,2024,12,4,2024-W52,2024-12
102,Bob,Smith,2024-12-30,4.7,2/21/2025,4 - Meeting Expectations,Bob Smith (102),1,2025,12,0,2025-W01,2024-12
102,Bob,Smith,2024-12-31,9.4,2/21/2025,4 - Meeting Expectations,Bob Smith (102),1,2025,12,1,2025-W01,2024-12
102,Bob,Smith,2025-01-01,5.6,2/21/2025,4 - Meeting Expectations,Bob Smith (102),1,2025,1,2,2025-W01,2025-01
102,Bob,Smith,2025-01-02,5.0,2/21/2025,4 - Meeting Expectations,Bob Smith (102),1,2025,1,3,2025-W01,2025-01
102,Bob,Smith,2025-01-03,6.9,2/21/2025,4 - Meeting Expectations,Bob Smith (102),1,2025,1,4,2025-W01,2025-01
102,Bob,Smith,2025-01-06,8.8,2/21/2025,4 - Meeting Expectations,Bob Smith (102),2,2025,1,0,2025-W02,2025-01
102,Bob,Smith,2025-01-07,9.3,2/21/2025,4 - Meeting Expectations,Bob Smith (102),2,2025,1,1,2025-W02,2025-01
102,Bob,Smith,2025-01-08,9.5,2/21/2025,4 - Meeting Expectations,Bob Smith (102),2,2025,1,2,2025-W02,2025-01
102,Bob,Smith,2025-01-09,5.8,2/21/2025,4 - Meeting Expectations,Bob Smith (102),2,2025,1,3,2025-W02,2025-01
102,Bob,Smith,2025-01-10,6.0,2/21/2025,4 - Meeting Expectations,Bob Smith (102),2,2025,1,4,2025-W02,2025-01
102,Bob,Smith,2025-01-11,7.8,2/21/2025,4 - Meeting Expectations,Bob Smith (102),2,2025,1,5,2025-W02,2025-01
102,Bob,Smith,2025-01-13,6.0,2/21/2025,4 - Meeting Expectations,Bob Smith (102),3,2025,1,0,2025-W03,2025-01
102,Bob,Smith,2025-01-14,5.8,2/21/2025,4 - Meeting Expectations,Bob Smith (102),3,2025,1,1,2025-W03,2025-01
102,Bob,Smith,2025-01-15,4.9,2/21/2025,4 - Meeting Expectations,Bob Smith (102),3,2025,1,2,2025-W03,2025-01
102,Bob,Smith,2025-01-16,9.3,2/21/2025,4 - Meeting Expectations,Bob Smith (102),3,2025,1,3,2025-W03,2025-01
102,Bob,Smith,2025-01-17,9.5,2/21/2025,4 - Meeting Expectations,Bob Smith (102),3,2025,1,4,2025-W03,2025-01
102,Bob,Smith,2025-01-20,5.2,2/21/2025,4 - Meeting Expectations,Bob Smith (102),4,2025,1,0,2025-W04,2025-01
102,Bob,Smith,2025-01-21,6.9,2/21/2025,4 - Meeting Expectations,Bob Smith (102),4,2025,1,1,2025-W04,2025-01
102,Bob,Smith,2025-01-22,5.7,2/21/2025,4 - Meeting Expectations,Bob Smith (102),4,2025,1,2,2025-W04,2025-01
102,Bob,Smith,2025-01-23,9.3,2/21/2025,4 - Meeting Expectations,Bob Smith (102),4,2025,1,3,2025-W04,2025-01
102,Bob,Smith,2025-01-24,4.5,2/21/2025,4 - Meeting Expectations,Bob Smith (102),4,2025,1,4,2025-W04,2025-01
102,Bob,Smith,2025-01-27,7.7,2/21/2025,4 - Meeting Expectations,Bob Smith (102),5,2025,1,0,2025-W05,2025-01
102,Bob,Smith,2025-01-28,9.3,2/21/2025,4 - Meeting Expectations,Bob Smith (102),5,2025,1,1,2025-W05,2025-01
102,Bob,Smith,2025-01-29,5.8,2/21/2025,4 - Meeting Expectations,Bob Smith (102),5,2025,1,2,2025-W05,2025-01
102,Bob,Smith,2025-01-30,7.6,2/21/2025,4 - Meeting Expectations,Bob Smith (102),5,2025,1,3,2025-W05,2025-01
102,Bob,Smith,2025-01-31,5.8,2/21/2025,4 - Meeting Expectations,Bob Smith (102),5,2025,1,4,2025-W05,2025-01
102,Bob,Smith,2025-02-03,4.4,2/21/2025,4 - Meeting Expectations,Bob Smith (102),6,2025,2,0,2025-W06,2025-02
102,Bob,Smith,2025-02-04,7.2,2/21/2025,4 - Meeting Expectations,Bob Smith (102),6,2025,2,1,2025-W06,2025-02
102,Bob,Smith,2025-02-05,9.1,2/21/2025,4 - Meeting Expectations,Bob Smith (102),6,2025,2,2,2025-W06,2025-02
102,Bob,Smith,2025-02-06,4.2,2/21/2025,4 - Meeting Expectations,Bob Smith (102),6,2025,2,3,2025-W06,2025-02
102,Bob,Smith,2025-02-07,7.5,2/21/2025,4 - Meeting Expectations,Bob Smith (102),6,2025,2,4,2025-W06,2025-02
102,Bob,Smith,2025-02-10,8.9,2/21/2025,4 - Meeting Expectations,Bob Smith (102),7,2025,2,0,2025-W07,2025-02
103,Charlie,Brown,2024-11-04,8.5,2/15/2025,5 - Exceeding Expectations,Charlie Brown (103),45,2024,11,0,2024-W45,2024-11
103,Charlie,Brown,2024-11-05,4.3,2/15/2025,5 - Exceeding Expectations,Charlie Brown (103),45,2024,11,1,2024-W45,2024-11
103,Charlie,Brown,2024-11-06,5.3,2/15/2025,5 - Exceeding Expectations,Charlie Brown (103),45,2024,11,2,2024-W45,2024-11
103,Charlie,Brown,2024-11-07,9.3,2/15/2025,5 - Exceeding Expectations,Charlie Brown (103),45,2024,11,3,2024-W45,2024-11
103,Charlie,Brown,2024-11-08,7.0,2/15/2025,5 - Exceeding Expectations,Charlie Brown (103),45,2024,11,4,2024-W45,2024-11
103,Charlie,Brown,2024-11-11,5.2,2/15/2025,5 - Exceeding Expectations,Charlie Brown (103),46,2024,11,0,2024-W46,2024-11
103,Charlie,Brown,2024-11-12,5.3,2/15/2025,5 - Exceeding Expectations,Charlie Brown (103),46,2024,11,1,2024-W46,2024-11
103,Charlie,Brown,2024-11-14,4.9,2/15/2025,5 - Exceeding Expectations,Charlie Brown (103),46,2024,11,3,2024-W46,2024-11
103,Charlie,Brown,2024-11-15,8.2,2/15/2025,5 - Exceeding Expectations,Charlie Brown (103),46,2024,11,4,2024-W46,2024-11
103,Charlie,Brown,2024-11-18,6.4,2/15/2025,5 - Exceeding Expectations,Charlie Brown (103),47,2024,11,0,2024-W47,2024-11
103,Charlie,Brown,2024-11-19,5.0,2/15/2025,5 - Exceeding Expectations,Charlie Brown (103),47,2024,11,1,2024-W47,2024-11
103,Charlie,Brown,2024-11-20,7.6,2/15/2025,5 - Exceeding Expectations,Charlie Brown (103),47,2024,11,2,2024-W47,2024-11
103,Charlie,Brown,2024-11-21,7.7,2/15/2025,5 - Exceeding Expectations,Charlie Brown (103),47,2024,11,3,2024-W47,2024-11
103,Charlie,Brown,2024-11-22,7.5,2/15/2025,5 - Exceeding Expectations,Charlie Brown (103),47,2024,11,4,2024-W47,2024-11
103,Charlie,Brown,2024-11-24,7.8,2/15/2025,5 - Exceeding Expectations,Charlie Brown (103),47,2024,11,6,2024-W47,2024-11
103,Charlie,Brown,2024-11-25,5.1,2/15/2025,5 - Exceeding Expectations,Charlie Brown (103),48,2024,11,0,2024-W48,2024-11
103,Charlie,Brown,2024-11-26,7.7,2/15/2025,5 - Exceeding Expectations,Charlie Brown (103),48,2024,11,1,2024-W48,2024-11
103,Charlie,Brown,2024-11-27,9.0,2/15/2025,5 - Exceeding Expectations,Charlie Brown (103),48,2024,11,2,2024-W48,2024-11
103,Charlie,Brown,2024-11-28,9.6,2/15/2025,5 - Exceeding Expectations,Charlie Brown (103),48,2024,11,3,2024-W48,2024-11
103,Charlie,Brown,2024-11-29,7.5,2/15/2025,5 - Exceeding Expectations,Charlie Brown (103),48,2024,11,4,2024-W48,2024-11
103,Charlie,Brown,2024-12-02,7.5,2/15/2025,5 - Exceeding Expectations,Charlie Brown (103),49,2024,12,0,2024-W49,2024-12
103,Charlie,Brown,2024-12-03,5.5,2/15/2025,5 - Exceeding Expectations,Charlie Brown (103),49,2024,12,1,2024-W49,2024-12
103,Charlie,Brown,2024-12-04,7.4,2/15/2025,5 - Exceeding Expectations,Charlie Brown (103),49,2024,12,2,2024-W49,2024-12
103,Charlie,Brown,2024-12-05,5.8,2/15/2025,5 - Exceeding Expectations,Charlie Brown (103),49,2024,12,3,2024-W49,2024-12
103,Charlie,Brown,2024-12-06,9.6,2/15/2025,5 - Exceeding Expectations,Charlie Brown (103),49,2024,12,4,2024-W49,2024-12
103,Charlie,Brown,2024-12-07,6.8,2/15/2025,5 - Exceeding Expectations,Charlie Brown (103),49,2024,12,5,2024-W49,2024-12
103,Charlie,Brown,2024-12-09,5.3,2/15/2025,5 - Exceeding Expectations,Charlie Brown (103),50,2024,12,0,2024-W50,2024-12
103,Charlie,Brown,2024-12-10,6.0,2/15/2025,5 - Exceeding Expectations,Charlie Brown (103),50,2024,12,1,2024-W50,2024-12
103,Charlie,Brown,2024-12-12,5.1,2/15/2025,5 - Exceeding Expectations,Charlie Brown (103),50,2024,12,3,2024-W50,2024-12
103,Charlie,Brown,2024-12-13,8.1,2/15/2025,5 - Exceeding Expectations,Charlie Brown (103),50,2024,12,4,2024-W50,2024-12
103,Charlie,Brown,2024-12-15,8.2,2/15/2025,5 - Exceeding Expectations,Charlie Brown (103),50,2024,12,6,2024-W50,2024-12
103,Charlie,Brown,2024-12-16,8.0,2/15/2025,5 - Exceeding Expectations,Charlie Brown (103),51,2024,12,0,2024-W51,2024-12
103,Charlie,Brown,2024-12-17,6.3,2/15/2025,5 - Exceeding Expectations,Charlie Brown (103),51,2024,12,1,2024-W51,2024-12
103,Charlie,Brown,2024-12-18,8.6,2/15/2025,5 - Exceeding Expectations,Charlie Brown (103),51,2024,12,2,2024-W51,2024-12
103,Charlie,Brown,2024-12-19,6.1,2/15/2025,5 - Exceeding Expectations,Charlie Brown (103),51,2024,12,3,2024-W51,2024-12
103,Charlie,Brown,2024-12-20,6.8,2/15/2025,5 - Exceeding Expectations,Charlie Brown (103),51,2024,12,4,2024-W51,2024-12
103,Charlie,Brown,2024-12-21,7.0,2/15/2025,5 - Exceeding Expectations,Charlie Brown (103),51,2024,12,5,2024-W51,2024-12
103,Charlie,Brown,2024-12-23,5.7,2/15/2025,5 - Exceeding Expectations,Charlie Brown (103),52,2024,12,0,2024-W52,2024-12
103,Charlie,Brown,2024-12-24,7.3,2/15/2025,5 - Exceeding Expectations,Charlie Brown (103),52,2024,12,1,2024-W52,2024-12
103,Charlie,Brown,2024-12-25,8.0,2/15/2025,5 - Exceeding Expectations,Charlie Brown (103),52,2024,12,2,2024-W52,2024-12
103,Charlie,Brown,2024-12-26,4.5,2/15/2025,5 - Exceeding Expectations,Charlie Brown (103),52,2024,12,3,2024-W52,2024-12
103,Charlie,Brown,2024-12-27,6.5,2/15/2025,5 - Exceeding Expectations,Charlie Brown (103),52,2024,12,4,2024-W52,2024-12
103,Charlie,Brown,2024-12-30,9.1,2/15/2025,5 - Exceeding Expectations,Charlie Brown (103),1,2025,12,0,2025-W01,2024-12
103,Charlie,Brown,2024-12-31,7.2,2/15/2025,5 - Exceeding Expectations,Charlie Brown (103),1,2025,12,1,2025-W01,2024-12
103,Charlie,Brown,2025-01-01,7.4,2/15/2025,5 - Exceeding Expectations,Charlie Brown (103),1,2025,1,2,2025-W01,2025-01
103,Charlie,Brown,2025-01-02,8.7,2/15/2025,5 - Exceeding Expectations,Charlie Brown (103),1,2025,1,3,2025-W01,2025-01
103,Charlie,Brown,2025-01-03,5.2,2/15/2025,5 - Exceeding Expectations,Charlie Brown (103),1,2025,1,4,2025-W01,2025-01
